population,lr,depth,reg,RMSE
2,0.1133,5,0.01,47.6102
2,0.0956,8,1.2792,47.745
2,0.0989,10,1.5395,47.5115
2,0.102,10,2.4496,47.5295
2,0.1268,7,0.9335,47.4168
2,0.0732,8,0.01,47.7905
2,0.0833,6,1.3013,47.5914
2,0.1058,5,0.8211,47.6212
2,0.1528,10,2.5949,47.7772
2,0.1095,10,1.4867,47.6148
2,0.1537,6,1.0446,47.6488
2,0.1272,10,2.3726,47.9167
2,0.1283,4,0.01,47.838
2,0.128,4,0.01,47.4849
2,0.1442,10,3.0654,47.7826
2,0.1084,5,0.6991,47.7415
2,0.152,10,3.1045,47.5498
2,0.1288,10,1.971,47.6279
2,0.151,7,0.0228,47.7245
2,0.1869,10,5.0,47.5139
2,0.1108,10,1.9041,47.8374
2,0.1342,10,5.0,47.5801
2,0.0796,6,1.3575,47.7528
2,0.1534,10,3.4976,46.0171
2,0.1628,10,3.7516,46.7625
2,0.0929,8,1.4187,47.4869
2,0.11,7,0.6524,47.5721
2,0.109,10,1.1913,47.529
2,0.1046,6,0.0684,47.4745
2,0.0947,7,0.01,47.1031
2,0.1548,8,3.4954,47.9201
2,0.1145,8,0.5456,47.9009
2,0.1896,10,3.7834,47.8923
2,0.1147,7,1.4011,47.7021
2,0.0961,10,1.089,47.3171
2,0.1028,8,0.4008,47.7589
2,0.1108,4,1.4791,47.8833
2,0.0769,8,0.181,47.0173
2,0.1441,8,0.6158,47.5332
2,0.0854,7,1.1139,47.9267
2,0.1323,10,3.2714,47.5713
2,0.1004,8,0.01,47.7713
2,0.1078,10,0.602,46.9162
3,0.1537,10,3.4266,47.2916
3,0.1297,10,3.9466,47.2449
3,0.1723,10,4.7989,47.3747
3,0.1165,8,0.652,47.3345
3,0.1276,10,1.9174,46.2206
3,0.1215,10,2.855,47.0467
3,0.1043,10,1.0781,47.1116
3,0.1018,10,1.9326,46.8158
3,0.1318,10,2.4508,47.0826
3,0.1613,10,4.267,47.2585
3,0.0913,8,0.6482,47.0672
3,0.1121,10,2.2793,47.0783
3,0.1273,10,3.7229,45.9569
3,0.1154,10,1.1966,46.7243
3,0.1343,10,1.2748,47.4087
3,0.1567,10,4.4048,47.1913
3,0.0801,7,0.2913,47.3461
3,0.1265,4,0.01,47.2744
3,0.1146,10,2.4998,46.9249
3,0.1105,10,2.174,46.9141
3,0.1665,10,3.8535,47.4502
3,0.1544,10,2.0941,47.4106
3,0.1374,10,3.6194,47.3414
3,0.0978,10,0.01,46.9307
3,0.1074,10,1.5642,46.5456
3,0.097,8,0.912,46.1962
3,0.1116,5,0.3888,46.9752
3,0.1489,10,2.9935,47.151
3,0.1594,10,4.0984,47.1392
3,0.1684,10,2.5679,47.398
3,0.1843,10,3.8527,47.0716
3,0.1318,10,2.6263,46.9999
3,0.1472,7,0.0509,46.8295
3,0.1957,10,3.7396,47.2002
3,0.1576,10,3.56,47.1441
3,0.1085,10,2.4773,47.4323
3,0.1799,10,3.2925,47.1394
3,0.1624,10,3.842,46.84
3,0.1121,7,0.6008,47.4543
3,0.1406,8,0.5696,47.3989
3,0.1539,10,3.1918,47.364
3,0.1708,10,4.8281,46.6763
3,0.1272,10,3.619,46.2027
3,0.1782,10,3.0654,47.4567
3,0.1594,10,3.8434,46.5082
3,0.1689,10,5.0,47.0474
3,0.1314,8,3.5302,47.364
3,0.1394,10,3.8607,47.4345
3,0.129,10,2.599,47.1332
3,0.1116,10,2.3937,47.2808
3,0.1017,10,1.6641,47.2653
3,0.1147,10,1.4868,46.2415
3,0.1238,7,1.3813,47.2905
3,0.1359,10,0.9855,47.2837
3,0.1155,7,0.7733,46.5872
3,0.1188,6,0.4002,47.2532
3,0.1046,6,0.01,47.3907
3,0.1235,7,1.3584,47.2923
3,0.1081,7,0.602,47.2989
3,0.1641,10,4.6262,47.2142
