population,lr,depth,reg,RMSE
3,0.1518,5,0.9787,47.2831
3,0.1647,6,0.9527,46.5569
3,0.1357,6,0.9054,47.1806
3,0.1489,6,0.5556,47.0938
3,0.163,6,0.8801,46.3584
3,0.1609,6,0.6934,47.4546
3,0.1419,6,0.8979,47.2308
3,0.0893,7,0.8697,47.3532
3,0.1641,6,0.9054,46.0164
3,0.1564,6,0.6061,46.4293
3,0.1219,4,1.3487,47.4368
3,0.1451,8,0.4947,46.7055
3,0.1272,4,0.0,47.3506
3,0.1337,6,0.9453,47.1963
3,0.146,6,0.0,47.233
3,0.1433,8,0.4684,47.0679
3,0.1495,7,0.0288,47.3304
3,0.1624,6,0.8386,46.0825
3,0.1613,6,0.0,47.0231
3,0.1595,6,0.0243,47.1093
3,0.1607,6,0.0,46.8892
3,0.1469,6,0.0,46.9361
3,0.1721,6,0.4726,47.3931
3,0.1459,6,0.0,47.2328
3,0.1748,6,0.495,47.15
3,0.1329,6,0.7635,46.4739
3,0.1596,6,0.0,46.7099
3,0.1634,6,0.8929,45.957
3,0.1314,6,0.9308,46.792
3,0.1634,6,0.8795,45.9532
3,0.1608,6,0.0,47.0252
3,0.1549,5,0.5772,47.3963
3,0.1315,6,1.5441,47.0946
3,0.1519,5,0.7031,47.1264
3,0.1756,6,0.8026,47.1172
3,0.1615,6,0.0,47.0226
3,0.1483,6,0.5156,47.4109
3,0.1308,6,0.6975,46.4725
3,0.1445,5,1.4431,47.1005
3,0.143,8,0.9297,47.4465
3,0.1615,6,0.0634,46.1841
3,0.1609,6,0.6934,47.4546
3,0.1598,6,0.0,46.7109
3,0.163,6,0.8801,46.3584
3,0.1589,6,0.0,47.3024
3,0.1615,6,0.0634,46.1841
3,0.1559,5,0.6689,47.3588
3,0.1824,6,2.131,46.8183
3,0.1342,6,0.855,46.9261
3,0.1191,6,0.9728,47.3581
3,0.1643,6,2.4289,46.6345
4,0.1629,6,0.8729,46.0891
4,0.1631,6,0.8505,45.8771
4,0.1626,6,0.8431,46.0828
4,0.1619,6,0.8003,45.9379
4,0.1631,6,0.8663,45.7373
4,0.1607,6,0.7568,46.0089
4,0.1616,6,0.8265,46.3552
4,0.1625,6,0.8265,45.9415
4,0.1621,6,0.819,46.2281
4,0.1629,6,0.8514,46.0823
4,0.1636,6,0.8863,45.9533
4,0.163,6,0.8439,46.0873
4,0.1626,6,0.8265,45.9406
4,0.1319,6,0.9906,46.3369
4,0.1177,7,0.7941,46.6748
4,0.1647,6,0.9527,46.5569
4,0.1625,6,0.8265,45.9415
4,0.1327,6,0.7042,46.6325
4,0.1626,6,0.8265,45.9406
4,0.1614,6,0.7992,45.9429
4,0.1629,6,0.8549,46.0831
4,0.1615,6,0.7864,45.9369
4,0.1614,6,0.7851,45.9376
4,0.1615,6,0.7864,45.9369
4,0.1635,6,0.8646,45.8784
4,0.1639,6,0.895,45.795
4,0.1722,6,1.0899,46.5936
4,0.1626,6,0.8265,45.9406
4,0.1627,6,0.8291,45.9403
4,0.1487,6,0.9054,46.905
4,0.1625,6,0.8324,46.229
4,0.1616,6,0.8265,46.3552
4,0.1612,6,0.8012,45.9457
4,0.1504,6,0.9903,46.1231
4,0.1614,6,0.7851,45.9376
4,0.1626,6,0.8265,45.9397
4,0.1705,6,0.5687,46.6974
4,0.1329,6,0.7447,46.6492
4,0.1626,6,0.8265,45.9406
4,0.1691,6,2.0197,45.8268
4,0.1635,6,0.8646,45.8784
4,0.1724,6,1.0888,46.5928
4,0.1499,6,0.5139,46.6703
4,0.1361,5,0.964,46.827
4,0.162,6,0.8265,46.3507
4,0.1651,6,0.7885,46.7668
4,0.1616,6,0.7885,45.9373
4,0.163,6,0.8531,46.082
4,0.1626,6,0.8265,45.9406
4,0.1617,6,0.8265,46.354
4,0.1445,6,0.4588,46.0641
4,0.1621,6,0.8265,46.35
4,0.1634,6,0.8732,45.8813
4,0.1701,6,1.0114,46.6966
4,0.1621,6,0.8265,46.35
4,0.1626,6,0.8265,45.9406
4,0.1636,6,0.8701,45.8395
4,0.1629,6,0.8549,46.0831
4,0.1636,6,0.8701,45.8395
4,0.1632,6,0.8553,46.0805
4,0.1622,6,0.8447,46.3546
4,0.1437,6,0.495,45.961
4,0.1608,6,0.0,46.5836
4,0.1312,6,0.7448,46.4898
4,0.161,6,0.7759,45.9382
4,0.1624,6,0.8265,46.2284
4,0.1632,6,0.8527,45.8774
4,0.1701,6,1.0114,46.6966
4,0.1624,6,0.8353,46.082
4,0.1632,6,0.8916,46.3027
4,0.1626,6,0.8646,46.3577
4,0.1626,6,0.8265,45.9406
4,0.1626,6,0.8265,45.9406
4,0.164,6,0.8963,45.7942
4,0.1635,6,0.8739,45.8812
4,0.1642,6,0.9078,46.0164
4,0.1337,6,0.8265,46.4882
4,0.1619,6,0.8113,45.9423
4,0.1619,6,0.8265,46.3524
4,0.1626,6,0.8265,45.9406
4,0.1632,6,0.8527,45.8774
4,0.1632,6,0.8801,46.0892
4,0.1614,6,0.7851,45.9376
4,0.1279,6,0.7586,46.9282
4,0.1619,6,0.8265,46.3526
4,0.1627,6,0.8519,46.0846
4,0.1635,6,0.8646,45.8784
4,0.1631,6,0.8505,45.8771
4,0.1619,6,0.0243,46.6921
4,0.1641,6,0.9064,46.0168
4,0.163,6,0.8668,46.0865
4,0.1619,6,0.8265,46.3518
4,0.1626,6,0.8265,45.9406
4,0.1624,6,0.8265,46.2285
4,0.1431,5,0.8265,46.7787
4,0.161,6,0.7905,45.9437
4,0.1615,6,0.7459,46.734
4,0.1631,6,0.8795,46.09
4,0.1445,6,0.5239,46.7341
4,0.1621,6,0.811,45.9399
5,0.1645,6,0.9142,46.2484
5,0.1631,6,0.857,46.0816
5,0.1625,6,0.8502,46.0863
5,0.1635,6,0.8663,45.8788
5,0.1637,6,0.8891,45.9533
5,0.1634,6,0.8833,45.9544
5,0.1637,6,0.8891,45.9536
5,0.1638,6,0.8891,45.7393
5,0.162,6,0.8257,46.2305
5,0.1635,6,0.892,45.956
5,0.1625,6,0.8345,46.2301
5,0.1627,6,0.8572,46.0864
5,0.1631,6,0.8663,45.7376
5,0.1627,6,0.8506,46.0837
5,0.1629,6,0.8663,46.0871
5,0.163,6,0.8655,45.7376
5,0.1616,6,0.7838,45.9349
5,0.1624,6,0.8336,46.2303
5,0.1627,6,0.8506,46.0837
5,0.1632,6,0.861,46.0826
5,0.163,6,0.8824,46.3586
5,0.1619,6,0.8205,46.2298
5,0.1627,6,0.8505,46.0836
5,0.1636,6,0.8904,45.9544
5,0.1624,6,0.8273,46.2284
5,0.1624,6,0.8414,46.0837
5,0.1633,6,0.8845,45.955
5,0.1623,6,0.8349,46.0824
5,0.1632,6,0.8663,45.8808
5,0.1626,6,0.8265,45.9402
5,0.1628,6,0.857,46.0848
5,0.1626,6,0.8483,46.0845
5,0.1637,6,0.8827,45.738
5,0.1644,6,0.9124,46.2486
5,0.1631,6,0.8628,45.8804
5,0.1616,6,0.8219,46.3542
5,0.1637,6,0.8891,45.7398
5,0.1646,6,0.9225,45.258
5,0.1635,6,0.8917,45.9553
5,0.1631,6,0.8799,46.0898
5,0.1631,6,0.8663,45.7373
5,0.164,6,0.8976,45.7953
5,0.1634,6,0.8781,45.9523
5,0.163,6,0.8663,46.0862
5,0.1638,6,0.8859,45.7384
5,0.1627,6,0.8663,46.0892
5,0.162,6,0.8176,46.2285
5,0.1641,6,0.9049,46.0168
5,0.163,6,0.8663,46.0862
5,0.1627,6,0.8663,46.357
5,0.1638,6,0.8872,45.7384
5,0.1624,6,0.8305,46.2296
5,0.1629,6,0.8787,46.302
5,0.1636,6,0.9021,46.0325
5,0.163,6,0.8421,46.0869
5,0.1629,6,0.866,46.0866
5,0.1627,6,0.8506,46.0837
5,0.1627,6,0.8475,46.0829
5,0.1636,6,0.8878,45.9538
5,0.1618,6,0.8141,46.2289
5,0.1636,6,0.8836,45.9526
5,0.1622,6,0.8359,46.0843
5,0.1631,6,0.8663,45.7376
5,0.162,6,0.8245,46.2305
5,0.1631,6,0.8756,46.0884
