population,lr,depth,reg,RMSE
3,0.1042,10,0.4834,47.1922
3,0.1477,10,3.0198,47.2598
3,0.1126,10,1.6549,46.6554
3,0.132,10,2.7498,47.3511
3,0.1377,10,2.1944,46.9983
3,0.1061,10,1.1765,47.2142
3,0.1004,10,1.1902,47.1442
3,0.1105,10,1.5912,47.3699
3,0.1035,10,0.9304,46.9948
3,0.1274,10,3.0629,47.4504
3,0.1079,10,0.6136,47.3377
3,0.1118,10,1.6645,47.0566
3,0.1443,10,2.4976,47.1644
3,0.1113,10,1.2443,47.4211
3,0.1175,10,1.4323,46.1408
3,0.1444,10,2.8366,46.8491
3,0.1212,10,2.5854,47.1265
3,0.1248,8,1.4538,46.9589
3,0.1153,10,1.7185,47.2813
3,0.0925,10,0.9953,46.9835
3,0.1169,10,1.3421,46.759
3,0.1377,10,2.1689,46.586
3,0.1004,8,0.8325,47.1335
3,0.1189,10,1.4411,47.244
3,0.1252,10,2.7601,47.4242
3,0.1131,10,1.1637,46.4593
3,0.1048,10,1.2177,47.0917
3,0.1253,10,1.1527,47.3036
3,0.1295,10,1.4563,47.0421
3,0.1029,10,1.21,47.32
3,0.1072,10,2.4381,47.1061
3,0.1578,10,3.7152,47.001
3,0.1082,10,1.5897,47.4579
3,0.1094,10,1.7963,47.2434
3,0.1184,10,2.6099,47.3282
3,0.1623,10,2.6064,47.3252
3,0.0898,10,0.3489,47.3779
3,0.14,10,2.0674,46.9463
3,0.1432,10,2.7032,47.0462
3,0.1039,10,2.1286,47.4477
3,0.1009,10,1.5194,47.0083
3,0.1363,10,2.4947,47.0567
3,0.1215,10,2.6231,46.9352
3,0.1068,10,1.3271,46.7478
3,0.1476,10,3.2117,47.0355
3,0.0971,10,0.8262,47.0097
3,0.1126,10,2.4456,46.9129
3,0.1462,10,2.8164,47.4265
3,0.1218,10,2.7546,47.3785
3,0.1132,10,2.3773,46.902
3,0.1531,10,3.4623,46.9605
3,0.1338,10,2.5852,47.1981
3,0.125,10,2.46,47.365
3,0.1158,10,1.2282,47.3395
3,0.1344,10,2.372,47.3818
3,0.1419,10,2.1751,47.0167
3,0.1306,10,2.5606,46.9802
3,0.1071,10,1.5516,46.6862
3,0.1335,10,2.6173,47.2467
3,0.0916,8,0.5807,47.2194
3,0.1085,10,1.0428,47.076
3,0.1113,10,2.0017,47.2726
3,0.1133,10,1.1064,47.3203
4,0.1045,10,1.043,46.3288
