population,epsilon,lr,depth,reg,RMSE
3,47.458,0.1013,11,0.5975,47.4356
3,47.458,0.1051,6,0.1173,47.1206
3,47.458,0.1096,10,1.1295,46.61
3,47.458,0.0975,10,0.8502,47.0906
3,47.458,0.0939,7,0.0,47.195
3,47.458,0.1385,10,0.994,47.1509
3,47.458,0.1465,10,2.8317,47.2803
3,47.458,0.1081,10,0.7318,47.2649
3,47.458,0.1223,8,0.4822,47.3917
3,47.458,0.0784,8,0.0,47.4131
3,47.458,0.1246,8,1.1777,47.2947
3,47.458,0.1242,11,1.3264,47.2037
3,47.458,0.1782,10,3.2556,47.4045
3,47.458,0.1437,10,2.454,47.2507
3,47.458,0.1344,11,1.352,46.7554
3,47.458,0.1141,11,1.2666,47.1132
3,47.458,0.1298,6,0.9655,47.1053
3,47.458,0.1299,11,1.0386,47.1073
3,47.458,0.1318,6,0.8717,46.5662
3,47.458,0.131,7,0.8199,47.4325
3,47.458,0.1283,11,1.3924,46.8024
3,47.458,0.1423,11,1.2118,46.8889
3,47.458,0.1316,8,0.7387,47.4491
3,47.458,0.0912,8,0.6582,47.3065
3,47.458,0.1042,6,0.7115,47.1227
3,47.458,0.0891,6,0.9604,47.1699
3,47.458,0.1289,11,1.0059,46.915
3,47.458,0.1261,8,1.4141,47.244
3,47.458,0.1502,6,0.575,47.3421
3,47.458,0.1024,11,1.2424,47.4276
3,47.458,0.1256,10,0.8977,47.1342
3,47.458,0.0747,8,0.5608,47.1732
3,47.458,0.1653,11,0.9839,47.2742
3,47.458,0.0866,6,0.5861,46.3293
3,47.458,0.1099,10,1.1938,47.3822
3,47.458,0.1299,11,1.3924,46.9153
3,47.458,0.1196,11,2.8772,46.8347
3,47.458,0.0942,10,0.5103,47.4448
3,47.458,0.0863,11,1.1994,47.3189
3,47.458,0.0901,8,0.4811,47.3401
3,47.458,0.1715,10,2.9194,46.6291
3,47.458,0.1115,11,0.3807,47.3913
3,47.458,0.1426,6,0.5007,47.4252
3,47.458,0.1429,8,0.7578,46.7433
3,47.458,0.112,10,2.3724,46.9756
3,47.458,0.1601,6,0.0,46.7867
3,47.458,0.097,8,1.1954,47.2934
3,47.458,0.1629,10,4.3486,46.9191
3,47.458,0.1153,7,0.8576,46.3
3,47.458,0.1195,8,0.6048,47.3495
3,47.458,0.1045,11,1.0131,47.1153
3,47.458,0.1124,10,1.2908,46.1522
3,47.458,0.1021,10,2.1491,47.2136
3,47.458,0.1333,11,0.9261,46.6315
3,47.458,0.087,11,0.5019,47.4078
3,47.458,0.1271,8,0.7089,46.9545
4,46.974,0.1298,10,1.1131,46.8992
4,46.974,0.0863,6,0.5459,46.3233
4,46.974,0.137,10,1.3044,46.7646
4,46.974,0.1502,11,1.1736,46.4193
4,46.974,0.1099,7,0.4406,46.9215
4,46.974,0.1343,8,0.3808,46.7164
4,46.974,0.1269,11,1.3154,46.7083
4,46.974,0.1143,10,1.2145,46.837
4,46.974,0.1221,11,0.2089,46.071
4,46.974,0.1022,10,0.3345,46.6415
4,46.974,0.1177,7,0.8303,46.9092
4,46.974,0.1598,8,0.725,46.966
4,46.974,0.1409,6,2.4605,46.8322
4,46.974,0.126,6,0.0,46.2732
4,46.974,0.1346,10,0.951,46.6116
4,46.974,0.1292,11,1.3315,46.7766
4,46.974,0.1301,11,1.2963,46.1207
4,46.974,0.1079,11,0.5975,46.8335
4,46.974,0.1269,11,1.4818,46.5513
4,46.974,0.1152,7,0.8646,46.4423
4,46.974,0.0867,6,0.5295,46.2953
4,46.974,0.1106,11,0.7685,46.9538
4,46.974,0.126,6,0.9964,46.7766
4,46.974,0.1189,10,1.0374,46.9405
4,46.974,0.1084,7,0.416,46.471
4,46.974,0.1246,8,1.4207,46.6215
4,46.974,0.1516,11,1.4299,46.1684
4,46.974,0.1394,10,0.9319,46.9256
4,46.974,0.1354,10,0.9555,46.3682
4,46.974,0.1468,11,1.5174,46.5393
4,46.974,0.1163,11,1.2391,46.1526
4,46.974,0.1429,5,0.4735,46.8567
4,46.974,0.1774,10,5.5853,46.8478
4,46.974,0.1019,8,0.9347,46.8641
4,46.974,0.1245,11,1.4236,46.8436
4,46.974,0.114,11,0.9035,46.8984
4,46.974,0.1291,6,0.8985,46.9204
4,46.974,0.114,11,1.2069,46.6331
4,46.974,0.1197,11,1.2145,45.9279
4,46.974,0.1289,10,0.6841,46.7286
4,46.974,0.1319,6,0.9087,46.5983
4,46.974,0.1135,10,1.1404,46.4813
4,46.974,0.1194,6,0.6528,46.9438
4,46.974,0.0941,7,0.2822,46.853
4,46.974,0.1296,11,1.0873,46.7029
4,46.974,0.1098,10,1.438,46.8062
4,46.974,0.1318,8,0.8576,46.8383
4,46.974,0.1237,11,1.432,46.5505
4,46.974,0.1348,10,0.9853,46.2368
4,46.974,0.1168,10,1.3449,46.4549
4,46.974,0.131,8,0.8102,46.4392
4,46.974,0.1759,11,2.279,46.8807
4,46.974,0.1133,11,0.3953,46.8291
4,46.974,0.1231,11,1.1896,46.6862
4,46.974,0.1573,11,2.3948,46.314
4,46.974,0.1137,10,1.3747,46.672
4,46.974,0.1341,11,0.9539,46.8014
4,46.974,0.1059,6,0.1217,46.9701
4,46.974,0.1236,11,0.3013,46.3299
4,46.974,0.1316,6,0.7299,46.4776
4,46.974,0.1452,11,0.3361,46.5498
4,46.974,0.1215,8,0.9508,46.7569
4,46.974,0.1271,6,0.7805,46.7036
4,46.974,0.1537,10,3.303,46.6415
4,46.974,0.0942,8,0.8526,46.817
4,46.974,0.1189,11,0.9684,46.7052
4,46.974,0.1251,11,0.5208,45.948
4,46.974,0.1598,10,3.632,46.8659
4,46.974,0.1319,8,0.8057,46.5661
4,46.974,0.1096,10,1.1295,46.61
4,46.974,0.086,6,0.4594,46.5565
4,46.974,0.107,7,0.9169,46.9186
4,46.974,0.1424,10,2.1622,46.8892
4,46.974,0.1258,6,0.5844,46.807
4,46.974,0.1308,11,0.075,46.773
4,46.974,0.1272,10,0.9944,46.3215
4,46.974,0.125,11,0.0,46.7375
4,46.974,0.1327,6,0.7069,46.6339
4,46.974,0.0858,6,0.46,46.582
4,46.974,0.1306,10,0.8108,46.9499
4,46.974,0.123,6,0.5294,46.8313
4,46.974,0.1315,10,2.6977,46.8311
4,46.974,0.1256,6,1.0039,46.8787
4,46.974,0.1222,8,0.8651,46.885
4,46.974,0.1561,11,1.6397,46.8052
4,46.974,0.0979,11,0.979,46.7858
4,46.974,0.127,11,1.3893,46.9082
4,46.974,0.1119,10,1.3429,46.6323
4,46.974,0.1445,8,0.9237,46.8835
4,46.974,0.1256,6,1.0039,46.8787
4,46.974,0.0827,8,0.3471,46.8051
4,46.974,0.125,11,1.4552,46.6827
4,46.974,0.186,11,2.8325,46.8391
4,46.974,0.1554,11,1.9595,46.7566
4,46.974,0.0898,7,0.5007,46.7611
4,46.974,0.1263,11,0.0,46.2748
4,46.974,0.1273,10,1.7631,46.3434
4,46.974,0.1314,6,0.9937,45.87
4,46.974,0.1155,7,0.8599,46.0389
4,46.974,0.1464,11,0.286,46.9362
5,46.49,0.1263,11,0.0,46.2747
5,46.49,0.1249,11,0.0,46.2255
5,46.49,0.1292,11,1.2686,45.9135
5,46.49,0.1142,11,1.2588,46.4116
5,46.49,0.1249,11,0.0,46.1997
5,46.49,0.1268,11,1.5006,46.3651
5,46.49,0.1206,11,1.2642,46.0159
5,46.49,0.1297,11,1.2801,46.3433
5,46.49,0.116,10,1.3157,46.4609
5,46.49,0.1316,6,0.8737,46.4169
5,46.49,0.1217,11,0.1786,45.8742
5,46.49,0.1261,11,0.0017,46.359
5,46.49,0.1288,11,1.2898,46.2115
5,46.49,0.1285,11,1.2499,46.2886
5,46.49,0.1224,11,0.2604,46.4353
5,46.49,0.1346,11,0.8559,46.2058
5,46.49,0.124,11,1.5002,46.3681
5,46.49,0.1186,11,1.1997,46.0325
5,46.49,0.1854,11,2.5751,46.1875
5,46.49,0.1238,6,0.7288,46.3817
5,46.49,0.1249,6,0.8142,46.2406
5,46.49,0.1465,8,1.0039,46.4226
5,46.49,0.132,8,0.886,46.479
5,46.49,0.1137,7,0.3946,46.3537
5,46.49,0.1308,11,0.0195,46.0849
5,46.49,0.1118,7,0.5345,46.4135
5,46.49,0.1332,8,1.0039,46.3761
5,46.49,0.1304,11,1.3131,46.2665
5,46.49,0.1285,11,1.2707,46.2067
5,46.49,0.125,11,1.2255,46.4504
5,46.49,0.1267,11,0.0146,45.6817
5,46.49,0.1155,7,0.8593,46.0388
5,46.49,0.1352,10,0.9964,45.8706
5,46.49,0.1309,8,0.7928,46.42
5,46.49,0.1161,10,1.3364,46.145
5,46.49,0.1143,11,1.2039,46.2769
5,46.49,0.1282,11,1.2614,46.4498
5,46.49,0.1263,11,0.0,46.2748
5,46.49,0.1156,10,1.2893,46.4575
5,46.49,0.1336,11,0.9775,46.4833
5,46.49,0.1299,11,1.4889,46.3418
5,46.49,0.1265,11,0.096,45.7202
5,46.49,0.1241,11,0.3013,46.1116
5,46.49,0.1231,8,1.0595,46.4236
5,46.49,0.1204,11,1.2487,45.8953
5,46.49,0.1809,11,1.4216,46.239
5,46.49,0.1525,10,3.3847,46.2623
5,46.49,0.1203,11,1.2305,45.4789
5,46.49,0.1126,10,1.2713,46.3311
5,46.49,0.1198,11,1.2645,46.092
5,46.49,0.1191,11,1.206,45.6535
5,46.49,0.1266,11,0.0,46.0191
5,46.49,0.1269,11,0.0223,46.0027
5,46.49,0.1233,11,1.4686,46.0215
5,46.49,0.1152,7,0.8645,46.4422
5,46.49,0.1224,6,0.9111,46.4648
5,46.49,0.1142,7,1.4276,46.2054
5,46.49,0.186,11,1.4478,46.3818
5,46.49,0.1364,10,0.9459,45.9042
5,46.49,0.1152,7,0.8295,46.3459
5,46.49,0.1197,11,1.2145,45.9279
5,46.49,0.1245,11,1.2232,46.2028
5,46.49,0.0844,6,0.6401,46.244
5,46.49,0.1269,11,0.0,45.5831
5,46.49,0.105,10,1.083,46.4188
5,46.49,0.1256,11,0.0,45.8088
5,46.49,0.1211,11,0.1966,46.1517
5,46.49,0.133,6,0.7648,46.4737
5,46.49,0.1532,10,3.3057,46.4859
