population,lr,depth,reg,RMSE
4,0.1107,10,1.5324,46.9388
4,0.1117,10,1.7151,46.6903
4,0.1115,10,1.6877,46.75
4,0.1063,10,1.3668,46.9579
4,0.1017,10,0.2775,46.5736
4,0.1105,10,1.2844,46.8135
4,0.1089,10,1.0579,46.8802
4,0.1126,10,1.763,46.628
4,0.1123,10,1.28,46.1508
4,0.1017,10,1.6083,46.9265
4,0.1271,10,0.9577,46.9228
4,0.1164,10,1.3789,46.3405
4,0.1105,10,1.2841,46.8134
4,0.1041,10,1.1304,46.7566
4,0.1298,10,1.1266,46.6003
4,0.1085,10,1.4866,46.8782
4,0.1049,10,1.0822,46.3621
4,0.1105,10,1.2617,46.9013
4,0.1091,10,1.0555,46.4668
4,0.0946,10,0.6844,46.7623
4,0.094,10,0.6351,46.8138
4,0.1138,10,1.018,46.8995
4,0.1155,10,1.3016,46.4644
4,0.1278,10,1.3997,46.9557
4,0.0975,10,1.1841,46.7629
4,0.1277,10,1.9419,46.932
4,0.1122,10,1.3567,46.6931
4,0.1466,10,2.8976,46.8276
4,0.1352,10,0.9004,46.7855
4,0.1168,10,1.4186,46.4717
5,0.0966,10,1.0839,45.887
5,0.1156,10,1.279,46.4537
5,0.1055,10,0.5258,46.0291
5,0.1123,10,1.283,46.1511
5,0.1156,10,1.3382,46.2254
5,0.1159,10,1.2844,46.4514
5,0.1124,10,1.2672,46.3471
5,0.109,10,0.8482,46.2132
5,0.1161,10,1.3368,46.2173
5,0.115,10,1.2777,46.4799
5,0.1176,10,1.4585,46.3877
5,0.1437,10,2.2953,46.2894
5,0.1086,10,0.8203,45.8155
5,0.1159,10,1.2968,46.4544
5,0.1085,10,0.709,46.2777
5,0.1171,10,1.4368,46.0998
5,0.1154,10,1.2622,46.1567
5,0.1124,10,1.2885,46.0711
5,0.1121,10,1.2202,46.3279
5,0.1089,10,0.8335,45.907
5,0.1166,10,1.3757,46.2294
5,0.1085,10,0.8195,45.8164
5,0.1078,10,0.7923,46.2015
5,0.1045,10,1.0439,46.3285
5,0.1172,10,1.4232,45.9559
5,0.1101,10,0.8958,46.4642
5,0.1154,10,1.2607,46.1567
5,0.1086,10,0.6757,46.3152
5,0.1049,10,1.0689,46.3287
5,0.1121,10,1.3616,46.2545
5,0.1061,10,1.1525,46.3936
5,0.1125,10,1.2863,46.0701
5,0.1129,10,1.2841,46.3333
5,0.116,10,1.307,46.4566
5,0.1082,10,0.8119,45.8181
5,0.1176,10,1.456,46.388
5,0.1155,10,1.2781,46.4558
5,0.1159,10,1.3071,46.4582
5,0.1049,10,1.0822,46.3621
5,0.1168,10,1.4028,46.3897
5,0.1157,10,1.3165,46.2888
5,0.1147,10,1.2438,46.4881
5,0.1085,10,0.82,45.8161
5,0.1167,10,1.3591,46.2353
5,0.1124,10,1.3848,46.4877
5,0.109,10,1.0791,46.489
5,0.1084,10,0.8259,45.841
5,0.1174,10,1.456,46.391
5,0.1101,10,0.8975,46.465
5,0.1155,10,1.3193,46.291
5,0.1167,10,1.3701,46.2272
5,0.1085,10,0.8151,45.816
5,0.1162,10,1.3571,46.1562
5,0.1135,10,1.1469,46.4551
5,0.1129,10,1.1119,46.4568
5,0.1085,10,0.818,45.8165
5,0.1167,10,1.0382,46.3922
5,0.1298,10,0.7782,46.2351
5,0.1091,10,0.852,45.8661
5,0.1049,10,1.0822,46.3621
5,0.1069,10,1.5324,46.3553
5,0.1128,10,1.2788,46.4777
5,0.1154,10,1.4053,46.4156
5,0.1281,10,1.7889,46.3873
5,0.1046,10,1.0338,46.4884
5,0.106,10,0.5554,46.0166
5,0.1172,10,1.4998,45.991
5,0.1086,10,0.8297,45.8168
5,0.1164,10,1.3381,46.1512
5,0.1018,10,0.2765,46.455
5,0.1437,10,2.2953,46.2894
5,0.1091,10,0.8495,46.1769
5,0.1066,10,0.7837,46.3925
5,0.1165,10,1.3991,45.7203
5,0.1076,10,1.5383,46.3123
5,0.1154,10,1.2706,46.1922
5,0.1039,10,1.0274,46.4882
5,0.1159,10,1.305,46.4573
5,0.09,10,0.1007,46.1444
5,0.1049,10,1.0601,46.3877
5,0.1174,10,1.3879,46.2845
5,0.1161,10,1.3693,46.4333
5,0.1155,10,1.3016,46.4649
5,0.1053,10,1.0912,46.3776
5,0.1015,10,0.2683,46.4545
5,0.1066,10,1.0602,46.4346
5,0.0954,10,0.4958,46.4386
5,0.1127,10,1.2812,46.2277
5,0.1089,10,0.825,45.9054
5,0.1169,10,1.4849,46.1121
5,0.1082,10,0.8145,45.8181
5,0.1091,10,0.8536,46.1769
5,0.106,10,1.1339,46.4493
5,0.1087,10,0.8233,46.0069
5,0.1124,10,1.2715,46.3471
5,0.1162,10,1.3571,46.1562
5,0.1101,10,0.8843,46.4614
5,0.1088,10,0.8356,45.8158
5,0.1166,10,1.3668,46.2268
5,0.1159,10,1.3325,46.219
6,0.1164,10,1.3903,45.72
6,0.1171,10,1.4932,45.7566
6,0.1123,10,1.2853,45.9655
6,0.1085,10,0.8197,45.8166
6,0.1164,10,1.39,45.7202
6,0.1175,10,1.4649,45.9752
6,0.1167,10,1.4021,45.7818
6,0.1165,10,1.3986,45.72
6,0.1086,10,0.8297,45.8168
6,0.1088,10,0.8375,45.8313
6,0.1166,10,1.3977,45.7827
6,0.1176,10,1.4761,45.9757
6,0.1164,10,1.3931,45.7205
6,0.1084,10,0.8239,45.8176
6,0.1174,10,1.4343,45.9713
6,0.1175,10,1.4643,45.9757
6,0.109,10,0.8337,45.8492
6,0.1167,10,1.4058,45.7832
6,0.1165,10,1.3958,45.7197
6,0.1177,10,1.4783,45.975
6,0.1168,10,1.4841,45.9721
6,0.1169,10,1.4186,46.0039
6,0.1088,10,0.8367,45.8161
6,0.1086,10,0.8214,45.8158
6,0.1169,10,1.483,45.7523
6,0.1165,10,1.3929,45.7831
6,0.1087,10,0.8347,45.8166
6,0.1086,10,0.8272,45.8167
6,0.1164,10,1.3906,45.7201
6,0.1088,10,0.8194,45.9543
6,0.1089,10,0.8335,45.907
6,0.1166,10,1.3994,45.784
6,0.1081,10,0.8124,45.8185
6,0.1172,10,1.434,45.9636
6,0.1165,10,1.3931,45.7195
6,0.117,10,1.4222,46.0037
6,0.1164,10,1.3897,45.7195
6,0.1175,10,1.464,45.9757
6,0.1164,10,1.3939,45.7206
6,0.1173,10,1.4287,45.9547
6,0.1173,10,1.4307,45.9714
6,0.1167,10,1.4047,45.7828
6,0.1083,10,0.8145,45.8173
6,0.1084,10,0.8154,45.8169
6,0.112,10,1.2694,45.9765
6,0.1121,10,1.2706,45.9768
6,0.1172,10,1.4244,45.9555
6,0.1166,10,1.4061,45.7844
6,0.1165,10,1.3957,45.7202
6,0.1177,10,1.4803,45.9759
6,0.1166,10,1.3979,45.7824
6,0.1086,10,0.8203,45.8155
6,0.1083,10,0.8055,45.8164
6,0.1165,10,1.3983,45.7848
6,0.1165,10,1.4012,45.7853
6,0.1176,10,1.4386,45.8926
6,0.1177,10,1.485,45.9762
6,0.1083,10,0.8143,45.8174
6,0.1175,10,1.439,45.9701
6,0.1169,10,1.4206,46.0045
6,0.1173,10,1.4282,45.9552
6,0.1083,10,0.8055,45.8162
6,0.1083,10,0.8147,45.8178
6,0.1086,10,0.8203,45.8155
6,0.1176,10,1.4763,45.9757
6,0.1175,10,1.437,45.8937
6,0.1164,10,1.3903,45.7199
6,0.1165,10,1.392,45.7195
6,0.1168,10,1.4071,45.7816
6,0.1165,10,1.3933,45.7194
6,0.1172,10,1.5014,45.9909
6,0.1091,10,0.8392,45.8481
6,0.1165,10,1.3913,45.7828
6,0.1086,10,0.8203,45.8155
6,0.1169,10,1.4814,45.7524
6,0.1082,10,0.8048,45.8171
6,0.1163,10,1.3857,45.721
6,0.117,10,1.4224,46.0043
6,0.1174,10,1.4313,45.8947
6,0.1165,10,1.3996,45.7201
6,0.1176,10,1.4739,45.9758
6,0.1176,10,1.441,45.8927
6,0.1165,10,1.3963,45.7842
6,0.1165,10,1.3935,45.72
6,0.1175,10,1.4643,45.9758
6,0.1087,10,0.8278,45.8155
6,0.1174,10,1.4333,45.9714
6,0.1123,10,1.2856,45.9654
6,0.1092,10,0.8415,45.8479
6,0.1085,10,0.8186,45.8165
6,0.1086,10,0.8234,45.8164
6,0.1081,10,0.8105,45.8184
6,0.1174,10,1.4306,45.8945
6,0.1176,10,1.4711,45.9745
6,0.1083,10,0.8148,45.8172
6,0.1082,10,0.806,45.8174
6,0.1171,10,1.4297,45.965
6,0.117,10,1.424,46.0039
6,0.1082,10,0.8074,45.8177
6,0.1174,10,1.4338,45.8944
